0.03,3.95,0
0.04,3.45,16.7
0.085,3.15,7.59
0.102,1.95,0.33
0.1,0.66,4.6
0.12,0.86,4.02
0.12,0.7,3.9
0.115,0.64,3.9
0.118,6.45,4.1
0.109,9.05,4.08
0.126,3.85,0.67
0.123,3.3,3.55
0.21,3.1,5.37
0.08,2.7,3.7
0.075,2.2,7.96
0.04,0.71,16.5
0.056,0.66,6.87
0.084,4.5,9.15
0.056,3.4,15.2
0.074,3.4,9.91
0.088,3.3,0
0.05,3.3,16.7
0.078,2.6,0.8
0.106,2.4,4.7
0.099,1.31,4.2
0.19,3.9,6.35
0.24,3.2,2.2
0.25,2.4,9.15
0.056,1.5,9.24
0.045,1.5,1.2
0,1.3,11
0.124,1.3,0
0.2,0.64,16.7
0.196,0.64,6.1
0.192,0.11,14.06
0.194,4.3,3.7
0.206,4.1,3.3
0.163,3.4,3
0.104,2.5,0.67
0.129,2.5,13.9
0.123,2.5,0
0.11,2.2,16.7
0.278,0.83,16.7
0.274,0.75,0.27
0.3,0.09,0.69
0.316,10,0.69
0.301,3.2,4.07
0.29,3,6.2
0.31,2,6.46
0.33,2,9.8
0.328,2,16.7
0.32,0.74,16.7
0.33,0.77,1.93
0.43,0,0.11
0.62,0,0.29
0.68,13.2,13.9
0.72,4.2,0.74
0.73,4.2,1.17
0.065,4.1,15.2
0.085,3.3,3.1
0.105,2.5,16.7
0.085,2.4,16.7
0.07,1.9,0.89
0.075,0.7,0.78
0.08,0.74,0.74
0.08,0.65,1.58
0.035,0.64,14
0.035,5.8,3.6
0.06,4,3.23
0.053,3.9,10.17
0.04,3.5,16.7
0.1,2.6,4.19
0.12,2.5,0.29
0.142,1.5,14.9
0.16,1.5,0.69
0.164,6.4,0.79
0.193,6.15,1.37
0.204,3.7,15.9
0.206,3.3,3.2
0.228,3.3,4.6
0.323,1.4,0
0.155,0.84,16.7
0.595,0.78,16.7
0.82,0.76,5.54
0.945,0.64,6.55
0.71,6.4,9.5
0.7,6.4,16.15
0.69,4,12.1
0.61,3.8,13.4
0.59,3.3,14.4
0.63,2.65,0
0.625,1.6,16.7
0.61,0.64,0
0.67,0.65,3.87
0.66,0.08,0.69
0.67,4.3,3.8
0.67,4.2,3.5
0.64,4,5.02
0.8,2.5,6.39
0.77,1.8,5.3
0.77,1.8,
0.77,1.3,
0.95,0.78,
1.19,,
1.43,,
