0.18,0.32,42.15
0.14,0.225,37.8
0.225,0.435,32.2
0.2125,0.14,31.9
0.09,0.22,26.26
0.405,0.32,2.42
0.07,0.14,2.24
0.075,0.605,2
0.385,0.63,1.65
0.2125,0.115,1.5
1.54,0.02,1.43
0.36,0.075,1.15
1.1,0.17,0.9
0.4,0.775,0.28
0.445,0.065,0.285
0.235,0.1,0.295
1.53,0.185,0.295
0.4,0.56,0.31
0.625,0.25,0.075
0.37,0.705,0.095
0.15,26.45,0.085
0.05,18.2,0.35
0.08,15.9,0.385
0.0825,14.26,0.08
0.06,10.25,0.52
0.73,7.6,0.2
0.03,6.62,0.035
0.25,6.5,0.315
0.255,3.75,0.09
0.14,2.31,0.09
0.14,1.2,0.225
0.03,0.555,0.07
0.535,26.42,0.02
0.34,0.32,0.065
0.46,0.35,0.135
0.04,1.01,0.01
0.05,0.25,0.03
0.05,0.4,0.62
0.16,0.06,0.27
0.08,0.8,0.55
0.38,0.22,0.28
0.12,0.13,0.59
0.06,0.07,0.63
0.29,0.25,0.71
0.31,0.7,0.7
0.11,0.27,0.28
0.07,0.16,0.12
0.03,0.07,0.08
0.18,0.07,0.26
0.04,0.77,0.12
0.12,0.84,0.19
0.05,0.07,0.4
0.63,0.08,0.48
0.11,0.32,0.25
0.08,0.76,0.4
0.12,0.16,0.87
0.27,1.65,0.99
0.33,2.1,0.38
0.04,2.4,21
0.36,4.95,1.05
0.08,6.65,1.55
0.07,6.75,1.8
0.3,7.4,2.2
0.35,14.9,4.85
0.16,26.8,4.45
0.23,28.25,6.95
0.24,0.55,16.61
0.05,0.67,17.45
0.22,0.24,17.6
0.09,0.75,50
0.08,0,0.57
0.12,1,0.51
0,0.71,0.49
0.07,0.965,0.2
0.14,0.78,0.27
0.42,0.355,0.33
0.01,0.505,0.25
0.09,0.19,0.41
0,0.37,0.83
0.12,0.84,0.56
0.07,0.44,0.26
0.07,0.795,0.64
0.065,25.8,38
0.17,17.2,31
0.16,16,19
0.04,9.5,10.9
0.14,9.4,9
0.22,7.3,7.5
0.095,7,7.2
0.18,7,6.46
0.04,7.05,6
0.18,6.7,5.8
0.1,5.1,5.7
0.1,4.9,4.78
0.08,4.9,1.3
0.46,4.85,1.35
0.03,3.7,1.52
0.07,3.7,3.35
0.2,1.51,1.97
,1.69,2.14
,1.86,2.8
,1.98,2.95
,2.1,3.25
,2.7,
