0,0,1.67
0,0.09,0.5
0.11,0.179,0.35
0.13,0.192,0.33
0.075,3.65,0
0.13,0.14,0
0.13,0.214,0.12
0.153,0.49,0.175
0.212,0.173,0.07
0.095,0.45,0.155
0.25,0.214,0.175
0.2,0.52,0
0.218,0.073,0
0.208,0.13,0.09
0.098,0.273,0.06
0.071,1.2,0.31
0,0.125,0.175
0.065,0.209,0
0.127,0.08,0
0.039,0.03,0.08
0.17,0.08,0.35
0.173,0.189,0.31
0.207,0.55,0.14
0.045,0.34,0
0.069,0.49,0
0.37,0.07,0.75
0.028,0.165,2.25
0.01,0.13,0.26
0.21,0.13,0.15
0.25,2.53,0
0.258,0.175,0
0.204,0.15,0
0.184,0.195,0.87
0.092,0.44,0.12
0.04,0.34,0.29
0.042,0.51,0.16
0.045,0.46,0.15
0.079,0.47,0.17
0.069,0.15,0.28
0.229,0.164,0
0.153,0.09,0
0.074,0.06,0
0.202,0.16,0
0.185,0.22,1.45
0.075,0.242,0
0.168,1.57,1.93
0.177,0.08,2.3
0,0.06,0.34
0.202,0.16,0.21
0.079,0.21,1.57
0.045,0.77,0
0.119,0.54,1.18
0.025,0,0.08
0.042,0,0.015
0.11,0,0.07
0.113,0.188,0.29
0.206,0.07,0
0.164,0.115,0.93
0.066,0.275,0.93
0.075,0.12,2.32
0.154,0.095,0
0.235,0.077,0
0.272,0.26,0.22
0.27,0.47,0.19
0.105,1.25,0.16
0.1,1.12,0.2
0.07,0.5,0.19
0.59,0.83,0
0.062,0.15,0
0.13,0.08,1.1
0.12,0.13,1.18
0.112,0.18,0
0.11,0.73,0
0.038,0.29,0.09
0.214,0.99,3.51
0.254,0.18,3.71
0.397,0.37,1.24
0.343,0.065,0
0.13,0.055,0
0.085,1,0.06
0.048,0.13,0.2
0.036,1.05,0.55
0.065,0.23,0.34
0.109,0.14,0
0.125,0.175,0
0.155,1.05,0.22
0.048,1.63,0.075
0.028,0,3.22
0.257,1.72,0.09
0.116,0.075,0.16
0.239,0.05,0.16
0.068,0.72,0
0.035,0.084,0
0.024,0.2,0
0.08,0.25,0.1
0.079,0.27,0.94
0.085,0.15,0.54
0.102,0.11,0.38
0.19,0.17,0.52
0.165,0.09,0.12
0.175,NaN,NaN
0.23,NaN,NaN
0.432,NaN,NaN
0.424,NaN,NaN
